Time,,,Priority,Condition,Msg,Zone,MMSI,IMO,Name,Call Sign,Type,Latitude,Longitude,Info
1/9/2026 11:07,1/9/2026,11:07:00,Low,On Enter,Ship Enter Cable Zone,115kV Cable to Koh Samui 200m,567002815,7535169,RPX2,HSB3941,Passenger ship,9.451385,99.8833633,"SOG: 11.4 knt, COG: 51.0, Dest.: 567002815, AIS Msg: WARNING: ENTERING CABLE AREA - DO NOT ANCHOR."
1/9/2026 11:08,1/9/2026,11:08:00,Low,On Exit,Ship Exit Cable Zone,115kV Cable to Koh Samui 200m,567002815,7535169,RPX2,HSB3941,Passenger ship,9.453915,99.8863617,"SOG: 11.7 knt, COG: 50.8, Dest.: 567002815, AIS Msg: WARNING: YOU ARE EXIT THE CABLE AREA."
1/9/2026 12:21,1/9/2026,12:21:00,Low,On Enter,Ship Enter Cable Zone,115kV Cable to Koh Samui 200m,567001641,0,SEATRAN FERRY 11,HSB6580,Passenger ship,9.4935267,99.88939,"SOG: 13.0 knt, COG: 226.7, Dest.: KHO.SAMUI_SURAT, ETA: 2026-08-31 11:35, AIS Msg: WARNING: ENTERING CABLE AREA - DO NOT ANCHOR."
1/9/2026 12:23,1/9/2026,12:23:00,Low,On Exit,Ship Exit Cable Zone,115kV Cable to Koh Samui 200m,567001641,0,SEATRAN FERRY 11,HSB6580,Passenger ship,9.4875083,99.8843583,"SOG: 13.0 knt, COG: 219.0, Dest.: KHO.SAMUI_SURAT, ETA: 2026-08-31 11:35, AIS Msg: WARNING: YOU ARE EXIT THE CABLE AREA."
1/9/2026 12:23,1/9/2026,12:23:00,Low,On Enter,Ship Enter Cable Zone,115kV Cable to Koh Samui 200m,567002811,6920472,MV:RAJA 3,HSB4470,Passenger ship,9.566675,99.8961733,"SOG: 11.6 knt, COG: 28.1, AIS Msg: WARNING: ENTERING CABLE AREA - DO NOT ANCHOR."
1/9/2026 12:24,1/9/2026,12:24:00,Low,On Exit,Ship Exit Cable Zone,115kV Cable to Koh Samui 200m,567002811,6920472,MV:RAJA 3,HSB4470,Passenger ship,9.569485,99.8977267,"SOG: 11.7 knt, COG: 27.2, AIS Msg: WARNING: YOU ARE EXIT THE CABLE AREA."
1/9/2026 12:35,1/9/2026,12:35:00,Low,On Enter,Ship Enter Cable Zone,115kV Cable to Koh Samui 200m,567001588,9233894,SEATRANFERRY 10,HSB6336,Cargo ship,9.4884217,99.8817267,"SOG: 13.2 knt, COG: 41.5, Dest.: KOH SAMUI, ETA: 2026-11-04 05:00, AIS Msg: WARNING: ENTERING CABLE AREA - DO NOT ANCHOR."
1/9/2026 12:37,1/9/2026,12:37:00,Low,On Exit,Ship Exit Cable Zone,115kV Cable to Koh Samui 200m,567001588,9233894,SEATRANFERRY 10,HSB6336,Cargo ship,9.49449,99.88674,"SOG: 13.2 knt, COG: 39.8, Dest.: KOH SAMUI, ETA: 2026-11-04 05:00, AIS Msg: WARNING: YOU ARE EXIT THE CABLE AREA."
1/9/2026 13:00,1/9/2026,13:00:00,Low,On Enter,Ship Enter Cable Zone,115kV Cable to Koh Samui 200m,567001642,8833910,SEATRAN FERRY 12,HSB6629,Passenger ship,9.493635,99.88939,"SOG: 13.0 knt, COG: 228.0, Dest.: SURAT_KOH SAMUI, ETA: 2026-08-31 09:30, AIS Msg: WARNING: ENTERING CABLE AREA - DO NOT ANCHOR."
1/9/2026 13:02,1/9/2026,13:02:00,Low,On Exit,Ship Exit Cable Zone,115kV Cable to Koh Samui 200m,567001642,8833910,SEATRAN FERRY 12,HSB6629,Passenger ship,9.4878233,99.884285,"SOG: 13.1 knt, COG: 221.7, Dest.: SURAT_KOH SAMUI, ETA: 2026-08-31 09:30, AIS Msg: WARNING: YOU ARE EXIT THE CABLE AREA."
